
> journey-lite@0.1.0 import:journeylite-blog
> tsx scripts/import-journeylite-blog-to-sanity.ts --create-drafts

[2026-05-21T17:47:11.635Z] Created draft: drafts.jl-blog-compounded-sublingual-tirzepatide-150-mg
[2026-05-21T17:47:13.114Z] Created draft: drafts.jl-blog-compounded-sublingual-tirzepatide-225-mg
[2026-05-21T17:47:14.646Z] Created draft: drafts.jl-blog-compounded-sublingual-tirzepatide-300-mg
[2026-05-21T17:47:16.182Z] Created draft: drafts.jl-blog-compounded-sublingual-tirzepatide-375-mg
[2026-05-21T17:47:17.659Z] Created draft: drafts.jl-blog-compounded-sublingual-tirzepatide-450-mg
[2026-05-21T17:47:19.149Z] Created draft: drafts.jl-blog-compounded-sublingual-tirzepatide-90-mg
[2026-05-21T17:47:20.685Z] Created draft: drafts.jl-blog-compounded-tirzepatide-injection-instructions-phase-1-month-2
[2026-05-21T17:47:22.158Z] Created draft: drafts.jl-blog-compounded-tirzepatide-injection-instructions-phase-2-month-1
[2026-05-21T17:47:23.700Z] Created draft: drafts.jl-blog-compounded-tirzepatide-injection-instructions-phase-2-month-2
[2026-05-21T17:47:25.184Z] Created draft: drafts.jl-blog-compounded-tirzepatide-injection-instructions-phase-3-month-1
[2026-05-21T17:47:26.715Z] Created draft: drafts.jl-blog-compounded-tirzepatide-injection-instructions-phase-3-month-2
[2026-05-21T17:47:28.241Z] Created draft: drafts.jl-blog-compounded-tirzepatide-injection-instructions
[2026-05-21T17:47:29.814Z] Created draft: drafts.jl-blog-constipation-after-weight-loss-surgery-medical-weight-loss
[2026-05-21T17:47:31.212Z] Created draft: drafts.jl-blog-copper
[2026-05-21T17:47:32.755Z] Created draft: drafts.jl-blog-course-post-op-diet
[2026-05-21T17:47:34.236Z] Created draft: drafts.jl-blog-covid-19-and-obesity-cdc-guidelines
[2026-05-21T17:47:35.774Z] Created draft: drafts.jl-blog-crushing-medications-after-weight-loss-surgery
[2026-05-21T17:47:37.244Z] Created draft: drafts.jl-blog-crust-less-low-carb-pizza
[2026-05-21T17:47:38.790Z] Created draft: drafts.jl-blog-dayton-tuesdays-thursdays-virtual-fridays-live
[2026-05-21T17:47:40.299Z] Created draft: drafts.jl-blog-diabetes-is-it-now-a-surgical-disease
[2026-05-21T17:47:41.871Z] Created draft: drafts.jl-blog-diabetes-walk
[2026-05-21T17:47:43.268Z] Created draft: drafts.jl-blog-diabetes-weight-loss-surgery-and-sglt2-inhibitors
